+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                10 |  1 |       NEW |     READY |
|                10 |  2 |       NEW |     READY |
|                10 |  3 |       NEW |     READY |
|                10 |  4 |       NEW |     READY |
|                10 |  5 |       NEW |     READY |
|                10 |  1 |     READY |   RUNNING |
|                20 |  1 |   RUNNING |   WAITING |
|                20 |  2 |     READY |   RUNNING |
|                30 |  2 |   RUNNING |   WAITING |
|                30 |  3 |     READY |   RUNNING |
|                40 |  1 |   WAITING |     READY |
|                50 |  2 |   WAITING |     READY |
|                60 |  3 |   RUNNING |   WAITING |
|                60 |  1 |     READY |   RUNNING |
|                70 |  1 |   RUNNING |   WAITING |
|                70 |  2 |     READY |   RUNNING |
|                80 |  2 |   RUNNING |   WAITING |
|                80 |  4 |     READY |   RUNNING |
|                90 |  3 |   WAITING |     READY |
|                90 |  1 |   WAITING |     READY |
|               100 |  2 |   WAITING |     READY |
|               120 |  4 |   RUNNING |   WAITING |
|               120 |  1 |     READY |   RUNNING |
|               130 |  1 |   RUNNING |   WAITING |
|               130 |  2 |     READY |   RUNNING |
|               140 |  2 |   RUNNING |   WAITING |
|               140 |  3 |     READY |   RUNNING |
|               150 |  1 |   WAITING |     READY |
|               160 |  4 |   WAITING |     READY |
|               160 |  2 |   WAITING |     READY |
|               170 |  3 |   RUNNING |   WAITING |
|               170 |  1 |     READY |   RUNNING |
|               180 |  1 |   RUNNING |   WAITING |
|               180 |  2 |     READY |   RUNNING |
|               190 |  2 |   RUNNING |   WAITING |
|               190 |  4 |     READY |   RUNNING |
|               200 |  3 |   WAITING |     READY |
|               200 |  1 |   WAITING |     READY |
|               210 |  2 |   WAITING |     READY |
|               230 |  4 |   RUNNING |   WAITING |
|               230 |  1 |     READY |   RUNNING |
|               240 |  1 |   RUNNING |   WAITING |
|               240 |  2 |     READY |   RUNNING |
|               250 |  2 |   RUNNING |   WAITING |
|               250 |  3 |     READY |   RUNNING |
|               260 |  1 |   WAITING |     READY |
|               270 |  4 |   WAITING |     READY |
|               270 |  2 |   WAITING |     READY |
|               280 |  3 |   RUNNING |   WAITING |
|               280 |  1 |     READY |   RUNNING |
|               290 |  1 |   RUNNING |   WAITING |
|               290 |  2 |     READY |   RUNNING |
|               300 |  2 |   RUNNING |   WAITING |
|               300 |  4 |     READY |   RUNNING |
|               310 |  3 |   WAITING |     READY |
|               310 |  1 |   WAITING |     READY |
|               320 |  2 |   WAITING |     READY |
|               340 |  4 |   RUNNING |   WAITING |
|               340 |  1 |     READY |   RUNNING |
|               350 |  1 |   RUNNING |   WAITING |
|               350 |  2 |     READY |   RUNNING |
|               360 |  2 |   RUNNING |   WAITING |
|               360 |  3 |     READY |   RUNNING |
|               370 |  1 |   WAITING |     READY |
|               380 |  4 |   WAITING |     READY |
|               380 |  2 |   WAITING |     READY |
|               390 |  3 |   RUNNING |   WAITING |
|               390 |  1 |     READY |   RUNNING |
|               400 |  1 |   RUNNING |   WAITING |
