+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                10 |  1 |       NEW |     READY |
|                10 |  2 |       NEW |     READY |
|                10 |  3 |       NEW |     READY |
|                10 |  4 |       NEW |     READY |
|                10 |  5 |       NEW |     READY |
|                10 |  5 |     READY |   RUNNING |
|                60 |  5 |   RUNNING |   WAITING |
|                60 |  4 |     READY |   RUNNING |
|               100 |  4 |   RUNNING |   WAITING |
|               100 |  3 |     READY |   RUNNING |
|               110 |  5 |   WAITING |     READY |
|               130 |  3 |   RUNNING |   WAITING |
|               130 |  5 |     READY |   RUNNING |
|               140 |  4 |   WAITING |     READY |
|               160 |  3 |   WAITING |     READY |
|               180 |  5 |   RUNNING |TERMINATED |
|               180 |  3 |     READY |   RUNNING |
|               210 |  3 |   RUNNING |   WAITING |
|               210 |  4 |     READY |   RUNNING |
|               240 |  3 |   WAITING |     READY |
|               250 |  4 |   RUNNING |   WAITING |
|               250 |  3 |     READY |   RUNNING |
|               280 |  3 |   RUNNING |   WAITING |
|               280 |  2 |     READY |   RUNNING |
|               290 |  4 |   WAITING |     READY |
|               290 |  2 |   RUNNING |   WAITING |
|               290 |  4 |     READY |   RUNNING |
|               310 |  3 |   WAITING |     READY |
|               310 |  2 |   WAITING |     READY |
|               330 |  4 |   RUNNING |   WAITING |
|               330 |  2 |     READY |   RUNNING |
|               340 |  2 |   RUNNING |   WAITING |
|               340 |  3 |     READY |   RUNNING |
|               360 |  2 |   WAITING |     READY |
|               370 |  4 |   WAITING |     READY |
|               370 |  3 |   RUNNING |   WAITING |
|               370 |  4 |     READY |   RUNNING |
|               400 |  3 |   WAITING |     READY |
|               410 |  4 |   RUNNING |   WAITING |
|               410 |  3 |     READY |   RUNNING |
|               440 |  3 |   RUNNING |   WAITING |
|               440 |  2 |     READY |   RUNNING |
|               450 |  4 |   WAITING |     READY |
|               450 |  2 |   RUNNING |   WAITING |
|               450 |  4 |     READY |   RUNNING |
|               470 |  3 |   WAITING |     READY |
|               470 |  2 |   WAITING |     READY |
|               490 |  4 |   RUNNING |TERMINATED |
|               490 |  2 |     READY |   RUNNING |
|               500 |  2 |   RUNNING |   WAITING |
|               500 |  3 |     READY |   RUNNING |
|               520 |  2 |   WAITING |     READY |
|               530 |  3 |   RUNNING |   WAITING |
|               530 |  2 |     READY |   RUNNING |
|               540 |  2 |   RUNNING |   WAITING |
|               540 |  1 |     READY |   RUNNING |
|               550 |  1 |   RUNNING |   WAITING |
|               560 |  3 |   WAITING |     READY |
|               560 |  2 |   WAITING |     READY |
|               560 |  2 |     READY |   RUNNING |
|               570 |  1 |   WAITING |     READY |
|               570 |  2 |   RUNNING |   WAITING |
|               570 |  1 |     READY |   RUNNING |
|               580 |  1 |   RUNNING |   WAITING |
|               580 |  3 |     READY |   RUNNING |
|               590 |  2 |   WAITING |     READY |
|               600 |  1 |   WAITING |     READY |
|               610 |  3 |   RUNNING |   WAITING |
|               610 |  1 |     READY |   RUNNING |
